id,name,WoWCombatLog-090226_172412.txt,WoWCombatLog-080126_225759.txt,WoWCombatLog-090726_185257.txt,WoWCombatLog-091426_172259.txt,WoWCombatLog-092026_142939.txt,WoWCombatLog-090626_142343.txt,WoWCombatLog-090926_174710.txt,WoWCombatLog-091626_172855.txt
221887,"Divine Steed",1,0,0,2,1,3,0,0
222256,"Dressed to Kill",1,0,0,0,0,0,0,0
222630,"Stormforged Vrykul Horn",1,0,0,0,0,1,0,0
223143,"Prismatic Bauble",83,0,31,41,43,52,60,66
223497,"Skyhorn War Harness",0,0,0,0,1,0,0,0
223499,"Bloodtotem War Harness",14,0,0,1,2,0,0,2
223500,"Highmountain War Harness",0,0,0,3,0,0,0,0
223819,"Divine Purpose",746,14,680,588,679,711,791,757
224001,"Defiled Augmentation",0,0,0,0,0,3,0,0
224127,"Crackling Surge",31,3,0,1,1,0,94,0
224324,"Shield Slam!",1693,0,0,0,23,1,1115,1202
225787,"Sign of the Warrior",0,0,0,6195,0,0,3256,0
227723,"Mana Divining Stone",733,71,273,401,351,855,278,209
228563,"Blackout Combo",0,59,0,0,0,203,0,0
231390,"Trailblazer",226,29,275,412,238,329,72,73
232698,"Shadowform",294,42,269,289,327,493,193,188
235313,"Blazing Barrier",5,0,0,4,3,26,2,1
235450,"Prismatic Barrier",474,0,31,118,196,79,509,334
236645,"Shimmer",234,6,94,88,178,101,162,235
242551,"Fel Focus",66,5,30,10,17,45,8,10
243955,"A Mighty Pirate",5,0,5,5,8,1,0,4
245686,"Fashionable!",502,21,127,201,137,276,117,118
246152,"Barbed Shot",0,3,379,312,339,252,273,335
246585,"Drummer",0,0,0,0,0,1,0,0
251837,"Flask of Endless Fathoms",0,0,0,0,0,0,1,0
251839,"Flask of the Undertow",0,0,0,0,0,0,0,2
252071,"Incarnation: Avatar of Ashamane",0,0,0,0,1,0,10,20
252216,"Tiger Dash",79,0,0,3,3,2,9,51
253595,"Inexorable Assault",21,34,0,3,7,7,7,3
253808,"Void's Embrace",0,1,0,0,0,8,0,0
254471,"Divine Steed",1,0,0,1,0,3,0,4
254472,"Divine Steed",1,0,0,124,131,0,0,0
254473,"Divine Steed",0,0,0,0,0,1,0,0
254474,"Divine Steed",4,0,0,0,0,1,3,1
254486,"Yellow Rune of Power",0,0,0,0,0,1,0,0
255654,"Bull Rush",0,3,0,0,0,1,0,0
256171,"Loaded Dice",1,0,0,0,1,1,0,0
256374,"Entropic Embrace",105,80,291,309,307,307,0,0
256452,"Contract: Storm's Wake",3,0,0,0,0,0,0,0
256739,"Coarse Leather Barding",0,0,2,0,0,0,0,0
256948,"Spatial Rift",1,2,15,28,30,21,0,1
257506,"Shot in the Dark",0,4,0,0,0,0,0,0
257622,"Trick Shots",134,0,37,92,124,97,111,117
258920,"Immolation Aura",7,19,476,589,521,478,0,3
260242,"Precise Shots",1309,0,297,782,1074,885,718,1063
260243,"Volley",134,0,37,92,124,97,73,117
260708,"Sweeping Strikes",238,14,215,352,93,312,114,136
260734,"Master of the Elements",0,0,2555,2863,1991,2953,776,1015
260881,"Spirit Wolf",129,2,189,95,60,196,224,129
261396,"Joined Hivemind",8,0,0,0,0,0,0,0
262232,"War Machine",401,1,99,235,130,261,193,182
263165,"Void Torrent",0,17,0,0,0,0,114,168
263648,"Soul Barrier",0,0,209,0,14,205,0,0
263725,"Clearcasting",1482,35,716,598,988,604,1194,1197
263806,"Wind Gust",0,4,321,378,262,384,153,233
264091,"Overtuned Corgi Goggles",0,0,0,1,0,0,0,0
264173,"Demonic Core",1113,158,932,869,977,1042,689,853
264571,"Nightfall",157,0,0,0,0,28,1,0
264667,"Primal Rage",2,0,0,0,1,0,49,142
264735,"Survival of the Fittest",18,0,107,109,118,96,91,96
265187,"Summon Demonic Tyrant",249,38,198,180,191,206,166,183
266030,"Reverse Entropy",194,19,0,0,0,9,173,201
266087,"Rain of Chaos",33,8,0,0,0,4,18,11
267402,"Noxious Venom Gland",0,0,0,0,0,1,0,0
268877,"Beast Cleave",0,3,14,6,121,50,48,105
269279,"Resounding Protection",0,0,0,0,0,1,0,0
269651,"Pyroclasm",1,0,0,0,0,0,1,0
270058,"Battle-Scarred Augmentation",1,0,0,0,0,0,0,0
270232,"Freezing Rain",0,38,0,0,2,2,0,0
270661,"Self Reliance",0,0,0,0,0,4,0,0
272126,"Magical Intrusion Dampener",2,0,0,0,2,4,2,0
272790,"Frenzy",0,0,0,0,0,3,0,0
273104,"Fireblood",20,0,2,3,5,16,108,57
273947,"Hemostasis",1,35,913,825,765,1023,0,27
274009,"Voracious",3,7,99,168,111,101,0,10
274739,"Rictus of the Laughing Skull",0,0,27,0,0,29,0,0
274740,"Zeal of the Burning Blade",0,0,1,0,0,2,0,0
274741,"Ferocity of the Frostwolf",0,0,24,0,1,22,0,0
274837,"Feral Frenzy",147,0,0,0,0,0,122,144
276111,"Divine Steed",62,2,0,4,2,4,65,78
276112,"Divine Steed",6,0,2,3,3,4,0,1
279709,"Starlord",219,0,284,256,151,265,410,540
280121,"Kovork Kostume",0,0,0,1,1,0,0,1
280270,"Improved Raging Blow",5,7,183,0,34,57,0,0
280375,"Redoubt",4,0,2,1,4,0,1229,0
281215,"Glorious Pennant",1,0,0,0,3,0,0,2
281216,"Glorious Pennant",4,0,0,0,0,0,0,0
281744,"Restlessness",1886,0,394,696,525,1138,645,605
285357,"T-Shirt Enthusiast",1,0,0,0,0,0,0,0
285978,"Boon of Kimbul",0,0,0,0,1,0,0,0
285979,"Boon of Krag'wa",0,0,0,0,1,0,0,0
285981,"Boon of Bwonsamdi",0,0,0,0,1,0,0,0
288613,"Trueshot",57,0,17,37,49,41,31,45
289184,"Dark Ranger's Spare Cowl",0,0,0,0,0,0,1,0
289277,"Spirit Healer: Brynja",147,9,19,44,53,77,20,14
289577,"Void Torrent",0,17,0,0,0,0,114,168
290121,"Ub3r-Construction",5,1,0,9,4,6,1,26
290213,"Full Bloom",1,2,0,0,0,0,0,1
290219,"Capturing Soul",0,0,0,0,0,0,1,0
290364,"Sunset Amber",2,0,0,0,0,0,0,0
290754,"Lifebloom",3,0,0,0,0,0,0,5
290793,"Trinity",0,0,0,0,0,0,2,0
291843,"Brush It Off",0,1,0,0,0,0,0,0
291944,"Regeneratin'",1,0,0,0,0,0,0,0
292359,"Embrace of Akunda",0,0,0,1,3,0,0,1
292360,"Embrace of Bwonsamdi",1,1,0,2,0,10,7,14
292361,"Embrace of Pa'ku",62,2,48,47,39,123,35,46
292362,"Embrace of Gonk",0,0,0,4,2,5,0,0
292363,"Embrace of Kimbul",2,0,0,0,0,7,0,1
292364,"Embrace of Krag'wa",2,0,1,0,0,3,0,0
292463,"Embrace of Pa'ku",0,0,112,99,114,103,28,68
293671,"Secret Fish Goggles",0,0,0,0,2,0,0,0
294133,"Divine Steed",0,0,40,31,28,23,0,0
294935,"Unstable Manapearl",0,0,0,0,0,1,0,0
301367,"Seabreeze Saddle Blanket",0,0,7,0,0,0,0,0
303995,"Carved Ankoan Charm",0,0,0,0,0,0,1,0
304037,"Fermented Deviate Fish",0,0,0,2,2,0,4,1
304369,"Sunwarmed Sand",0,1,0,0,0,0,2,0
304370,"Shadescale",3,0,0,0,1,0,0,0
307185,"Spectral Flask of Power",0,1,0,0,1,3,0,0
308188,"Contract: Rajani",0,0,0,0,0,1,0,0
308430,"Well Fed",2,0,0,0,0,0,0,0
311464,"Ace of Putrescence",8,0,0,1,0,0,0,0
311465,"Two of Putrescence",0,0,0,0,1,0,0,2
311467,"Four of Putrescence",1,0,0,0,0,0,0,0
311474,"Ace of Repose",1,0,0,0,0,0,0,6
311476,"Three of Repose",0,0,0,2,0,0,0,0
311483,"Ace of Voracity",0,0,0,2,0,0,2,0
311492,"Ace of the Indomitable",2,0,0,0,1,0,0,0
312372,"Return to Camp",2,0,0,0,0,0,0,0
313424,"Combat Analysis",3,0,0,0,0,1,0,0
315496,"Slice and Dice",14,26,13,83,78,47,4,3
315584,"Instant Poison",189,9,48,82,46,165,33,46
316440,"Martial Prowess",0,52,0,0,0,0,0,0
317920,"Concentration Aura",57,11,32,79,23,48,7,56
319454,"Call of the Elder Druid",0,4,0,0,0,0,0,0
325153,"Exploding Keg",0,0,0,0,0,34,0,0
325174,"Spirit Link Totem",1228,0,0,10,16,31,1289,1395
325202,"Dance of Chi-Ji",0,0,240,212,252,252,0,0
326808,"Rune of Sanguination",0,0,28,34,27,27,0,0
327510,"Shining Light",43,6,3,2,47,36,170,58
327706,"Well Fed",1,0,0,0,0,0,0,0
327707,"Well Fed",0,0,0,0,0,0,6,0
328906,"Envious Glimmer",2,0,0,0,0,0,0,0
332514,"Bron's Call to Action",1,0,0,0,0,0,0,0
333889,"Fel Domination",29,5,2,8,7,10,36,36
334581,"Power Siphon",0,0,0,0,0,1,0,0
334783,"Collateral Damage",126,5,9,93,123,255,127,41
335082,"Frenzy",3,7,8,0,10,13,0,0
335099,"Smoldering",0,0,0,4,0,0,0,0
335148,"Sign of the Twisting Nether",0,988,0,0,0,0,0,0
335150,"Sign of the Destroyer",0,0,0,0,4313,0,0,3786
336126,"Gladiator's Medallion",1,5,0,0,0,0,0,0
336135,"Adaptation",27,28,17,6,3,14,6,2
340183,"The Necronom-i-nom",1,0,0,0,0,0,0,0
341260,"Burst of Knowledge",0,1,0,0,0,0,0,0
341682,"Weathered Purple Parasol",0,0,0,0,0,0,0,2
342246,"Alter Time",5,1,2,1,5,2,1,9
343173,"Premeditation",23,10,234,325,104,259,5,1
343312,"Furious Gaze",0,16,0,58,0,5,0,0
343648,"Solstice",575,0,636,491,267,513,973,1231
343666,"Raise Banner",5,0,0,0,0,0,0,0
343960,"Sinstone Bond",5,0,0,0,0,3,0,0
343963,"Val'kyr Bond",7,0,2,0,0,9,0,1
344179,"Maelstrom Weapon",608,62,2,1,3,14,1793,2
345228,"Gladiator's Badge",2,17,0,0,0,0,0,0
345230,"Gladiator's Insignia",6,79,0,1,3,6,2,0
345545,"Flayedwing Toxin",0,1,0,0,0,0,0,0
347462,"Unbound Chaos",0,6,0,0,0,1,0,0
347600,"Infused Ruby Tracking",24,2,0,3,7,12,3,17
347765,"Demon Soul",0,0,0,0,0,1,0,0
347901,"Veiled Augmentation",6,2,0,0,4,13,6,0
351531,"Preternatural Charge",1,0,0,0,1,6,0,0
351915,"Sole Slough",0,0,0,0,0,2,0,0
354610,"Glimpse",2,23,0,0,0,0,0,0
355634,"Windveil",35,0,2,2,9,24,117,12
355851,"Blaze of Light",52,1,17,82,70,46,79,9
355897,"Inner Light",19,13,3,5,5,6,1,0
355898,"Inner Shadow",0,4,2,0,2,11,0,0
355936,"Dream Breath",230,4,306,314,281,268,185,203
355941,"Dream Breath",1259,21,1669,1648,1504,1620,1053,1178
356995,"Disintegrate",745,0,2,18,3,10,11,122
357170,"Time Dilation",8,0,15,19,18,2,11,15
357208,"Fire Breath",299,27,275,217,209,205,85,78
357210,"Deep Breath",0,0,1,0,1,0,0,0
358267,"Hover",213,14,91,96,91,96,47,112
359618,"Essence Burst",329,1,0,1,0,0,0,42
360022,"Chosen Identity",261,20,117,174,69,247,71,107
360184,"Sparkle Wings",10,0,0,0,0,2,0,0
361021,"Sense Power",8,2,1,11,2,21,1,6
361584,"Whirling Surge",1452,97,245,456,360,1203,176,237
362877,"Temporal Compression",355,8,479,425,399,428,294,305
363534,"Rewind",259,0,651,604,792,747,329,432
363608,"Divine Steed",14,0,0,5,8,10,0,0
363916,"Obsidian Scales",85,0,140,85,52,116,64,57
364343,"Echo",2540,4,4170,3982,3825,3751,2140,2567
365362,"Arcane Surge",209,9,65,51,105,56,185,143
366155,"Reversion",270,11,463,450,503,443,318,344
366646,"Familiar Skies",10,0,0,3,0,0,2,4
367364,"Reversion",1069,4,1789,1740,1687,1688,827,961
369299,"Essence Burst",360,5,673,609,566,676,293,389
369459,"Source of Magic",17,0,12,4,4,4,5,7
369536,"Soar",66,14,10,32,17,52,5,17
370454,"Charged Blast",0,0,0,2,0,0,0,0
370537,"Stasis",28,1,74,80,79,74,30,50
370553,"Tip the Scales",78,7,53,50,52,57,34,50
370562,"Stasis",26,1,69,64,64,62,30,42
370568,"Earpieces of Tranquil Focus",16,0,0,0,0,3,8,7
370652,"Phial of Static Empowerment",0,0,0,0,1,0,0,0
370666,"Rescue",8,0,3,6,6,5,1,3
370667,"Rescue",8,0,3,6,6,5,1,3
370772,"Static Empowerment",0,0,0,0,1,0,0,0
370889,"Twin Guardian",6,0,0,0,0,0,0,0
370901,"Leaping Flames",291,31,179,163,156,116,82,119
370965,"The Hunt",0,7,0,18,0,3,0,0
371172,"Phial of Tepid Versatility",2,0,0,1,1,0,0,1
371186,"Charged Phial of Alacrity",1,0,0,0,1,0,0,0
371204,"Phial of Still Air",0,0,0,0,0,1,0,0
371213,"Surging Breeze",0,0,0,0,0,1,0,0
371339,"Phial of Elemental Chaos",5,0,0,2,1,1,0,0
371348,"Elemental Chaos: Fire",3,0,0,1,0,1,0,0
371350,"Elemental Chaos: Air",2,0,0,0,0,1,0,0
371351,"Elemental Chaos: Earth",3,0,0,2,0,0,0,0
371353,"Elemental Chaos: Frost",1,0,0,1,3,0,0,0
372014,"Visage",3996,120,699,1235,869,1572,1468,1704
372152,"Dream of Cenarius",3,1,0,0,0,1,0,1
372470,"Scarlet Adaptation",319,11,29,69,36,107,132,50
372505,"Ursoc's Fury",2,3,0,0,0,0,0,1
372617,"Empyreal Blaze",0,4,23,0,15,3,116,0
373183,"Harsh Discipline",289,4,293,312,250,333,186,16
373213,"Insidious Ire",787,0,3294,2625,2613,3003,1750,0
373267,"Lifebind",2,0,0,7,6,6,0,0
373276,"Idol of Yogg-Saron",123,20,417,383,384,406,245,193
373277,"Thing from Beyond",93,15,335,302,312,326,191,152
373316,"Idol of Y'Shaarj",45,29,174,158,158,171,132,314
373862,"Temporal Anomaly",5280,0,7481,7986,6968,7006,4052,4989
374000,"Iced Phial of Corrupting Rage",1,0,0,0,0,0,0,0
374002,"Corrupting Rage",1,0,0,0,0,0,0,0
374227,"Zephyr",137,0,0,0,0,0,109,141
374349,"Renewing Blaze",53,0,102,61,35,81,54,41
374585,"Rune Mastery",465,94,607,717,592,686,806,614
374748,"Perseverance of the Ebon Blade",0,6,0,0,0,0,0,12
375087,"Dragonrage",124,0,0,0,0,0,0,17
375226,"Time Spiral",9,0,0,2,0,2,0,3
375229,"Time Spiral",4,0,0,2,0,1,0,2
375230,"Time Spiral",12,0,0,2,0,1,0,4
375234,"Time Spiral",15,0,0,1,0,1,0,5
375238,"Time Spiral",7,0,0,2,0,1,0,2
375240,"Time Spiral",14,0,0,1,0,0,0,3
375252,"Time Spiral",0,0,0,1,0,1,0,0
375253,"Time Spiral",12,0,0,3,0,1,0,2
375254,"Time Spiral",11,0,0,4,0,0,0,1
375255,"Time Spiral",0,0,0,3,0,1,0,0
375256,"Time Spiral",16,0,0,3,0,1,0,4
375257,"Time Spiral",21,0,0,2,0,2,0,3
375258,"Time Spiral",18,0,0,3,0,3,0,3
375583,"Ancient Flame",16,6,74,125,79,52,1,0
375802,"Burnout",191,4,0,2,0,0,0,50
375981,"Shadowy Insight",0,27,0,0,0,0,442,499
376788,"Dream Breath",1035,1,380,406,332,282,870,1110
376850,"Power Swell",229,1,0,2,0,0,0,32
377066,"Mental Fortitude",1095,3,3216,4066,4376,3667,1288,1459
377101,"Bonegrinder",0,32,0,68,0,0,0,0
377102,"Exhilarating Burst",226,0,171,163,146,189,206,234
377103,"Bonegrinder",0,24,0,50,0,0,0,0
377192,"Enduring Strength",1,16,0,31,0,1,0,0
377195,"Enduring Strength",2,16,1,31,1,1,0,0
377253,"Frozen Dominion",0,16,0,31,0,0,0,0
377588,"Ghoulish Frenzy",139,25,36,72,95,131,221,153
378076,"Thunderous Paws",238,7,40,168,200,171,158,234
378081,"Nature's Swiftness",132,0,2,16,23,33,103,134
378105,"Tailwind",1,0,0,1,0,3,0,0
378412,"Light of the Titans",47,8,1,0,50,50,104,94
378464,"Nullifying Shroud",3,0,0,0,0,0,0,0
378770,"Deathblow",6,4,0,0,0,0,1,0
378989,"Lycara's Teachings",1309,139,379,636,420,963,407,464
378990,"Lycara's Teachings",255,9,11,69,59,80,134,151
378991,"Lycara's Teachings",155,18,36,69,48,86,100,111
378992,"Lycara's Teachings",233,9,75,110,117,176,189,190
379017,"Faith's Armor",516,10,27,0,151,158,1262,570
381637,"Atrophic Poison",323,32,137,174,104,281,65,89
381664,"Amplifying Poison",156,21,81,117,77,129,38,68
381732,"Blessing of the Bronze",53,1,38,53,42,39,40,47
381741,"Blessing of the Bronze",28,0,40,56,50,37,19,21
381746,"Blessing of the Bronze",71,0,29,57,36,46,68,80
381748,"Blessing of the Bronze",211,44,62,104,81,160,77,81
381749,"Blessing of the Bronze",30,0,37,53,43,37,39,50
381750,"Blessing of the Bronze",100,0,21,26,43,30,60,59
381751,"Blessing of the Bronze",11,0,24,26,22,19,1,3
381752,"Blessing of the Bronze",62,0,56,80,71,44,47,52
381753,"Blessing of the Bronze",44,0,68,90,76,73,47,26
381754,"Blessing of the Bronze",3,0,22,77,67,17,2,3
381755,"Primordial Bond",1,3,13,27,16,10,11,1
381756,"Blessing of the Bronze",81,1,70,77,43,53,89,123
381757,"Blessing of the Bronze",116,0,48,53,47,40,60,73
381758,"Blessing of the Bronze",77,1,59,82,23,61,46,51
381856,"Murglasses",3,0,0,0,0,0,0,0
381954,"Spoils of Neltharus",1,0,0,0,0,0,1,0
381955,"Spoils of Neltharus",0,1,0,0,0,0,0,0
381956,"Spoils of Neltharus",4,0,0,0,0,0,2,0
382021,"Earthliving Weapon",382,19,113,145,129,330,108,132
382022,"Earthliving Weapon",538,19,119,157,166,367,265,279
382024,"Earthliving Weapon",9840,17,9,291,311,681,9008,11252
382133,"Elemental Stance: Ice",0,0,0,0,1,0,0,0
382234,"Well Fed",0,0,0,0,3,0,0,0
382266,"Fire Breath",0,0,1,0,0,0,0,28
382817,"Windwhipped",0,0,0,0,0,0,0,1
382858,"Seven of Earth",0,0,0,0,0,12,0,0
382889,"Flurry",109,20,0,0,0,13,414,2
383169,"Lucky Horseshoe",174,22,52,114,99,126,63,79
383235,"Undercurrent",113,3,1,0,0,4,105,126
383395,"Feel the Burn",0,0,0,0,0,77,0,0
383416,"Bogthwottle's Shrinky-Do",0,0,0,0,1,0,0,0
383637,"Fiery Rush",1,0,0,0,0,14,0,0
383648,"Earth Shield",829,40,363,425,369,879,329,368
383733,"Training of Niuzao",0,8,0,0,0,61,0,0
383781,"Algeth'ar Puzzle",0,4,17,0,0,86,0,0
383800,"Counterstrike",0,38,0,0,0,300,0,0
383811,"Fevered Incantation",0,0,0,0,0,212,0,0
383813,"Sleepy Ruby Warmth",9,0,0,11,1,4,46,20
383873,"Hack and Slash",5,0,268,0,45,135,0,0
383874,"Hyperthermia",1,0,0,0,0,14,0,0
383926,"Bound by Fire and Blaze",0,0,0,0,0,1,2,0
384100,"Berserker Shout",2,1,0,0,0,0,0,0
384102,"Berserker Shout",2,1,0,0,0,0,0,0
384129,"Neural Silencer Mk3",10,0,1,10,6,26,0,0
384320,"Contract: Artisan's Consortium",0,1,0,0,0,0,0,0
384451,"Lightning Strikes",256,30,0,0,1,5,809,0
384543,"Cozy Fur",0,0,0,27,0,14,0,0
385391,"Spell Reflection",136,3,92,87,14,120,19,21
385540,"Rejuvenating Wind",14,0,77,74,77,63,50,38
385627,"Kingsbane",1,8,0,176,240,23,1,0
385727,"Silent Storm",23,0,87,134,87,87,4,1
385787,"Matted Fur",90,0,21,64,69,18,145,146
385960,"Lingering Shadow",0,0,137,178,52,137,0,0
386029,"Brace For Impact",86,0,0,0,2,0,55,68
386164,"Battle Stance",705,30,149,185,199,527,123,172
386165,"Cloaked in Shadows",0,1,0,0,0,0,0,0
386196,"Berserker Stance",185,24,82,140,85,173,55,55
386208,"Defensive Stance",294,19,93,165,82,152,88,101
386237,"Fade to Nothing",7,0,219,317,94,229,0,0
386353,"Iridescence: Red",0,0,0,0,0,0,0,30
386397,"Battle-Scarred Veteran",14,0,0,0,0,0,19,11
386399,"Iridescence: Blue",0,0,0,0,0,0,0,30
386478,"Violent Outburst",389,0,0,0,6,0,230,260
386486,"Seeing Red",37,0,0,0,0,0,29,30
386599,"Ash Feather Amulet",0,0,0,0,0,3,0,0
386631,"Battlelord",0,48,0,0,0,0,0,0
386632,"Battlelord",0,57,0,0,0,0,0,0
386633,"Executioner's Precision",1261,17,1347,1620,380,1777,672,658
386652,"Bulwark of Righteous Fury",775,21,32,0,192,207,1304,706
386730,"Divine Resonance",103,3,3,0,23,27,97,105
386869,"Fel Resilience",5,0,0,0,0,0,0,0
387109,"Conflagration of Chaos",0,4,0,0,0,0,0,0
387178,"Empyrean Legacy",1,9,0,145,106,2,248,0
387263,"Flashpoint",71,4,0,0,0,0,96,111
387336,"Zone of Focus",4,0,0,0,0,1,2,0
387350,"Ouroboros",2,1,1,0,0,0,0,0
387385,"Backlash",14,0,0,0,0,0,2,16
387626,"Soulburn",109,3,9,25,37,25,71,77
387633,"Soulburn: Demonic Circle",10,0,2,2,2,4,12,14
387636,"Soulburn: Healthstone",26,0,0,0,0,3,25,26
387792,"Empyreal Ward",1,0,0,0,0,0,4,3
387804,"Echoing Protection",3,0,7,11,18,5,7,0
388367,"Ohn'ahra's Gusts",2227,234,417,629,482,1653,290,478
388497,"Secret Infusion",19,0,1,2,8,5,8,3
388498,"Secret Infusion",32,6,0,16,3,15,0,2
388500,"Secret Infusion",55,10,10,25,17,107,7,34
388513,"Overflowing Mists",0,3,0,0,0,0,0,2
388588,"Ride Along",1,0,1,2,6,0,3,3
388598,"Ride Along",11,0,4,12,6,18,7,1
388599,"Ride Along",14,1,1,1,3,11,0,4
388600,"Ride Along",16,0,1,0,4,24,1,4
388602,"Ride Along",6,2,1,1,8,19,4,2
388973,"Cycle of Life",11,7,0,1,0,13,2,5
389020,"Bulletstorm",434,0,131,296,399,345,249,351
389539,"Sentinel",101,0,3,0,16,17,169,95
389614,"Abyss Walker",29,5,0,0,1,4,13,36
389820,"Under Red Wings",18,0,0,2,0,2,30,25
389847,"Felfire Haste",137,15,176,233,219,188,141,90
389890,"Tactical Retreat",8,21,0,47,0,6,0,2
390148,"Flow State",2,5,0,0,0,0,0,0
390155,"Serrated Glaive",0,0,1,0,0,4,0,0
390192,"Ragefire",0,5,0,52,0,0,0,0
390195,"Chaos Theory",0,21,0,0,0,0,0,0
390260,"Commander of the Dead",173,25,125,107,104,165,306,230
390386,"Fury of the Aspects",172,39,0,2,1,0,0,0
390677,"Inspiration",143,4,1545,1706,1516,1387,274,13
390692,"Borrowed Time",499,4,937,877,893,902,409,42
390787,"Weal and Woe",20,6,822,769,727,729,4,3
390978,"Twist of Fate",145,11,280,321,334,260,228,87
391092,"Shattered Psyche",206,16,1003,855,874,943,248,0
391215,"Initiative",0,26,0,70,0,5,0,0
391401,"Mind Flay: Insanity",116,12,547,526,560,578,128,0
391403,"Mind Flay: Insanity",174,12,765,721,758,727,184,0
391459,"Sanguine Ground",0,27,662,743,602,677,0,31
391481,"Coagulopathy",3,4,38,75,46,45,0,3
391519,"Umbilicus Eternus",0,0,0,19,0,6,0,0
391527,"Umbilicus Eternus",0,0,0,19,0,5,0,0
391528,"Convoke the Spirits",53,1,0,42,0,0,44,42
391594,"Lemon Silverleaf Tea",0,0,0,0,0,0,5,3
391618,"Druidic Dreamsalad",5,0,0,6,10,0,3,3
391635,"Venrik's Goat Milk",0,0,0,0,3,0,4,6
391645,"Roquefort-Stuffed Peppers",0,0,0,2,10,0,1,5
391693,"Fine Taladorian Cheese Platter",5,0,0,1,3,0,1,1
391722,"Sabertooth",0,0,0,0,0,0,0,2
391873,"Tiger's Tenacity",171,0,0,0,1,0,166,189
391876,"Frantic Momentum",275,0,0,0,0,0,264,286
391882,"Apex Predator's Craving",185,0,0,0,0,0,109,199
392268,"Essence Burst",0,51,0,0,0,0,0,0
392360,"Reforestation",2,3,4,54,132,3,2,6
392401,"Improved Garrote",6,11,3,150,207,18,3,2
392403,"Improved Garrote",12,24,3,151,212,22,4,4
392778,"Wild Strikes",966,20,670,791,279,826,566,600
392883,"Vivacious Vivification",0,7,41,51,52,61,0,0
393009,"Fel Flame Fortification",0,0,346,532,495,439,0,0
393038,"Strength in Adversity",0,0,41,0,343,381,1216,0
393108,"Guardian of Ancient Kings",6,0,1,0,4,4,46,20
393438,"Draconic Augmentation",199,7,58,157,69,119,66,74
393515,"Pretense of Instability",0,15,0,0,0,159,0,1
393700,"Aerated Phial of Deftness",0,1,0,0,0,0,0,0
393763,"Umbral Embrace",284,0,307,251,160,274,471,615
393831,"Fel Devastation",0,0,0,0,0,5,0,0
393897,"Tireless Pursuit",10,4,0,0,0,2,0,2
393903,"Ursine Vigor",14,0,2,23,2,10,49,22
393919,"Screams of the Void",369,99,1488,1344,1316,1416,908,837
393942,"Starweaver's Warp",0,0,54,52,58,52,27,118
393944,"Starweaver's Weft",0,0,69,204,155,147,59,168
393951,"Bloodcraze",9,0,0,0,1,0,0,0
393969,"Danse Macabre",0,2,0,0,0,0,0,0
393971,"Soothing Darkness",0,3,0,0,0,0,0,0
394049,"Balance of All Things",76,0,65,69,40,67,124,166
394050,"Balance of All Things",204,0,243,214,127,226,364,476
394080,"Scent of Blood",0,11,0,0,134,24,1,0
394087,"Mayhem",76,54,0,0,0,0,46,24
394095,"Kingsbane",1,8,0,176,239,23,1,0
394108,"Sundered Firmament",69,0,154,47,88,106,152,186
394195,"Overflowing Energy",1452,245,461,441,867,441,1090,998
394203,"The Rotten",0,2,0,0,0,0,0,0
394454,"Echoing Freedom",4,0,4,27,57,5,9,0
394810,"Soulburn: Drain Life",4,0,0,0,0,1,6,3
395110,"Parting Skies",77,0,176,50,96,121,173,206
395152,"Ebon Might",0,152,0,0,0,0,0,6
395296,"Ebon Might",0,13,0,0,0,0,0,1
396092,"Well Fed",0,0,0,1,0,0,1,1
396358,"Cooler Than You",0,0,0,0,0,3,1,0
397399,"Voidmender's Shadowgem",0,0,0,0,0,0,1,0
397827,"Oversized Bobbers",7,0,27,26,13,38,8,7
398458,"Well Fed",1,0,3,0,0,0,0,0
399497,"Sheilun's Gift",4,13,3,3,3,5,0,5
399510,"Sheilun's Gift",4,13,3,3,3,5,0,5
400126,"Forestwalk",5,5,3,227,189,2,10,15
400734,"After the Wildfire",373,30,122,170,121,350,91,118
400745,"Afterimage",627,16,284,489,315,659,200,219
401521,"Emerald Resonance",0,0,0,0,3,0,0,0
402903,"Igneous High Tide",1,0,0,0,0,0,0,0
403071,"Wind Sculpted Stone",0,0,0,0,0,1,0,0
403092,"Aerial Halt",8,1,0,3,3,2,1,2
403264,"Black Attunement",1,25,1,18,0,19,0,24
403265,"Bronze Attunement",1,0,0,1,1,9,2,0
403295,"Black Attunement",86,100,5,221,0,674,1,464
403296,"Bronze Attunement",25,0,0,17,8,197,19,0
403876,"Divine Protection",0,0,0,45,57,0,52,4
403976,"Inquisitor's Ire",0,0,0,4,0,0,0,0
404184,"Ground Skimming",6375,407,1158,2037,1332,5051,863,1289
404464,"Flight Style: Skyriding",2009,268,654,1209,805,2037,766,772
404468,"Flight Style: Steady",720,71,325,417,350,754,256,246
404840,"Stinky Bright Potion",2,0,15,2,6,5,2,3
405069,"Overflowing Power",52,0,0,0,1,0,53,62
405189,"Overflowing Power",350,0,0,0,1,0,393,445
405963,"Divine Image",27,1,0,8,1,10,99,0
406086,"Art of War",1,5,0,452,320,1,232,0
406087,"Calm the Wolf",120,29,21,73,41,109,31,24
406220,"Chi Cocoon",6,0,0,0,0,0,0,0
406732,"Spatial Paradox",0,0,0,0,0,0,0,5
406789,"Spatial Paradox",0,0,0,0,0,0,0,5
